Rank,Title,Year,IMDb Rating,Votes,Runtime,Certificate,Description,Link,min_age,is_16_plus,inferred_genres,primary_genre
1,The Shawshank Redemption,1994,9.3,3081689,2h 22m,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",https://www.imdb.com/title/tt0111161/,17.0,True,[],Unknown
2,The Godfather,1972,9.2,2149202,2h 55m,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/,17.0,True,"['Crime', 'History']",Crime
3,The Dark Knight,2008,9.1,3056543,2h 32m,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/,10.0,False,[],Unknown
4,The Godfather Part II,1974,9.0,1445413,3h 22m,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/,17.0,True,"['Drama', 'Crime']",Drama
5,12 Angry Men,1957,9.0,941911,1h 36m,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://www.imdb.com/title/tt0050083/,,False,['Crime'],Crime
6,The Lord of the Rings: The Return of the King,2003,9.0,2098477,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/,10.0,False,[],Unknown
7,Schindler's List,1993,9.0,1539209,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.imdb.com/title/tt0108052/,17.0,True,['War'],War
8,Pulp Fiction,1994,8.8,2359024,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com/title/tt0110912/,17.0,True,['Crime'],Crime
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2130737,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com/title/tt0120737/,10.0,False,['Drama'],Drama
10,"The Good, the Bad and the Ugly",1966,8.8,864370,2h 58m,R,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/,17.0,True,[],Unknown
11,Forrest Gump,1994,8.8,2406877,2h 22m,PG-13,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://www.imdb.com/title/tt0109830/,10.0,False,"['Romance', 'History']",Romance
12,The Lord of the Rings: The Two Towers,2002,8.8,1892764,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com/title/tt0167261/,10.0,False,[],Unknown
13,Fight Club,1999,8.8,2499575,2h 19m,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/,17.0,True,['Action'],Action
14,Inception,2010,8.8,2715348,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://www.imdb.com/title/tt1375666/,10.0,False,[],Unknown
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1459151,2h 4m,PG,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",https://www.imdb.com/title/tt0080684/,10.0,False,['History'],History
16,The Matrix,1999,8.7,2176815,2h 16m,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://www.imdb.com/title/tt0133093/,17.0,True,['Drama'],Drama
17,Goodfellas,1990,8.7,1341988,2h 25m,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",https://www.imdb.com/title/tt0099685/,17.0,True,"['Drama', 'Crime', 'Romance']",Drama
18,Interstellar,2014,8.7,2385787,2h 49m,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://www.imdb.com/title/tt0816692/,10.0,False,['Sci-Fi'],Sci-Fi
19,One Flew Over the Cuckoo's Nest,1975,8.7,1127314,2h 13m,R,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",https://www.imdb.com/title/tt0073486/,17.0,True,[],Unknown
20,Se7en,1995,8.6,1936256,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://www.imdb.com/title/tt0114369/,17.0,True,"['Crime', 'Horror', 'War']",Crime
21,It's a Wonderful Life,1946,8.6,532494,2h 10m,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://www.imdb.com/title/tt0038650/,10.0,False,['Drama'],Drama
22,The Silence of the Lambs,1991,8.6,1654479,1h 58m,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com/title/tt0102926/,17.0,True,['Horror'],Horror
23,Seven Samurai,1954,8.6,389119,3h 27m,Not Rated,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://www.imdb.com/title/tt0047478/,,False,['War'],War
24,Saving Private Ryan,1998,8.6,1586106,2h 49m,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",https://www.imdb.com/title/tt0120815/,17.0,True,"['Action', 'War']",Action
25,The Green Mile,1999,8.6,1503474,3h 9m,R,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,https://www.imdb.com/title/tt0120689/,17.0,True,['Mystery'],Mystery
26,City of God,2002,8.6,845663,2h 10m,R,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",https://www.imdb.com/title/tt0317248/,17.0,True,['Drama'],Drama
27,Life Is Beautiful,1997,8.6,786472,1h 56m,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://www.imdb.com/title/tt0118799/,10.0,False,['Comedy'],Comedy
28,Terminator 2: Judgment Day,1991,8.6,1245274,2h 17m,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",https://www.imdb.com/title/tt0103064/,17.0,True,['Sci-Fi'],Sci-Fi
29,Star Wars: Episode IV - A New Hope,1977,8.6,1525945,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",https://www.imdb.com/title/tt0076759/,10.0,False,"['Action', 'History', 'War']",Action
30,Back to the Future,1985,8.5,1394847,1h 56m,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://www.imdb.com/title/tt0088763/,10.0,False,[],Unknown
31,Spirited Away,2001,8.6,924374,2h 4m,PG,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://www.imdb.com/title/tt0245429/,10.0,False,['Drama'],Drama
32,The Pianist,2002,8.5,978768,2h 30m,R,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",https://www.imdb.com/title/tt0253474/,17.0,True,"['Drama', 'War']",Drama
33,Gladiator,2000,8.5,1783632,2h 35m,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://www.imdb.com/title/tt0172495/,17.0,True,"['Drama', 'Crime']",Drama
34,Parasite,2019,8.5,1088054,2h 12m,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://www.imdb.com/title/tt6751668/,17.0,True,"['Drama', 'Romance']",Drama
35,Psycho,1960,8.5,760134,1h 49m,R,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/,17.0,True,[],Unknown
36,The Lion King,1994,8.5,1216385,1h 28m,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://www.imdb.com/title/tt0110357/,0.0,False,[],Unknown
37,Grave of the Fireflies,1988,8.5,357816,1h 28m,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.,https://www.imdb.com/title/tt0095327/,,False,"['Drama', 'War']",Drama
38,The Departed,2006,8.5,1503649,2h 31m,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/,17.0,True,['Crime'],Crime
39,Whiplash,2014,8.5,1091681,1h 46m,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,https://www.imdb.com/title/tt2582802/,17.0,True,[],Unknown
40,Harakiri,1962,8.6,82081,2h 13m,Not Rated,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",https://www.imdb.com/title/tt0056058/,,False,[],Unknown
41,The Prestige,2006,8.5,1532301,2h 10m,PG-13,Rival 19th-century magicians engage in a bitter battle for trade secrets.,https://www.imdb.com/title/tt0482571/,10.0,False,"['Action', 'Fantasy', 'War']",Action
42,American History X,1998,8.5,1241000,1h 59m,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",https://www.imdb.com/title/tt0120586/,17.0,True,['Drama'],Drama
43,Léon: The Professional,1994,8.5,1314235,1h 50m,R,An Italian hit man protects a New York orphan.,https://www.imdb.com/title/tt0110413/,17.0,True,[],Unknown
44,Spider-Man: Across the Spider-Verse,2023,8.5,472889,2h 20m,PG,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",https://www.imdb.com/title/tt9362722/,10.0,False,[],Unknown
45,Casablanca,1942,8.5,637694,1h 42m,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,https://www.imdb.com/title/tt0034583/,10.0,False,"['Drama', 'Romance']",Drama
46,Cinema Paradiso,1988,8.5,305067,2h 54m,PG,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",https://www.imdb.com/title/tt0095765/,10.0,False,"['Drama', 'Romance']",Drama
47,The Usual Suspects,1995,8.5,1200275,1h 46m,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,https://www.imdb.com/title/tt0114814/,17.0,True,['Crime'],Crime
48,The Intouchables,2011,8.5,989428,1h 52m,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",https://www.imdb.com/title/tt1675434/,17.0,True,[],Unknown
49,Alien,1979,8.5,1027102,1h 57m,R,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",https://www.imdb.com/title/tt0078748/,17.0,True,"['Drama', 'Sci-Fi', 'Mystery']",Drama
50,Modern Times,1936,8.5,275863,1h 27m,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://www.imdb.com/title/tt0027977/,0.0,False,['Drama'],Drama
51,Rear Window,1954,8.5,552823,1h 52m,PG,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,https://www.imdb.com/title/tt0047396/,10.0,False,['Crime'],Crime
52,Django Unchained,2012,8.5,1812374,2h 45m,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",https://www.imdb.com/title/tt1853728/,17.0,True,[],Unknown
53,Once Upon a Time in the West,1968,8.5,372421,2h 46m,PG-13,A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.,https://www.imdb.com/title/tt0064116/,10.0,False,"['Action', 'Mystery']",Action
54,City Lights,1931,8.5,208955,1h 27m,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://www.imdb.com/title/tt0021749/,0.0,False,['Romance'],Romance
55,Apocalypse Now,1979,8.4,749030,2h 27m,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://www.imdb.com/title/tt0078788/,17.0,True,['Action'],Action
56,WALL·E,2008,8.4,1275043,1h 38m,G,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://www.imdb.com/title/tt0910970/,0.0,False,"['Drama', 'Romance', 'Sci-Fi']",Drama
57,Memento,2000,8.4,1392461,1h 53m,R,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife&apos;s murderer.,https://www.imdb.com/title/tt0209144/,17.0,True,['Crime'],Crime
58,Dune: Part Two,2024,8.5,655789,2h 46m,PG-13,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",https://www.imdb.com/title/tt15239678/,10.0,False,"['Drama', 'Romance', 'War']",Drama
59,Raiders of the Lost Ark,1981,8.4,1083636,1h 55m,PG,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",https://www.imdb.com/title/tt0082971/,10.0,False,[],Unknown
60,Avengers: Infinity War,2018,8.4,1308933,2h 29m,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://www.imdb.com/title/tt4154756/,10.0,False,[],Unknown
61,The Lives of Others,2006,8.4,431168,2h 17m,R,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",https://www.imdb.com/title/tt0405094/,17.0,True,"['Crime', 'Romance']",Crime
62,Sunset Boulevard,1950,8.4,251449,1h 50m,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,https://www.imdb.com/title/tt0043014/,,False,"['Drama', 'Romance']",Drama
63,Spider-Man: Into the Spider-Verse,2018,8.4,745332,1h 57m,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://www.imdb.com/title/tt4633694/,10.0,False,[],Unknown
64,Witness for the Prosecution,1957,8.4,152509,1h 56m,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,https://www.imdb.com/title/tt0051201/,,False,"['Crime', 'War']",Crime
65,Paths of Glory,1957,8.4,228938,1h 28m,Approved,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,https://www.imdb.com/title/tt0050825/,,False,"['Action', 'War']",Action
66,The Shining,1980,8.4,1179054,2h 26m,R,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",https://www.imdb.com/title/tt0081505/,17.0,True,"['Drama', 'Sci-Fi']",Drama
67,The Great Dictator,1940,8.4,250934,2h 5m,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,https://www.imdb.com/title/tt0032553/,0.0,False,['History'],History
68,12th Fail,2023,8.7,153496,2h 27m,,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://www.imdb.com/title/tt23849204/,,False,['Drama'],Drama
69,Inglourious Basterds,2009,8.4,1706429,2h 33m,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",https://www.imdb.com/title/tt0361748/,17.0,True,"['Action', 'War']",Action
70,Aliens,1986,8.4,815831,2h 17m,R,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",https://www.imdb.com/title/tt0090605/,17.0,True,['Sci-Fi'],Sci-Fi
71,The Dark Knight Rises,2012,8.4,1932963,2h 44m,PG-13,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",https://www.imdb.com/title/tt1345836/,10.0,False,['History'],History
72,Coco,2017,8.4,663088,1h 45m,PG,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://www.imdb.com/title/tt2380307/,10.0,False,"['Drama', 'Musical']",Drama
73,Amadeus,1984,8.4,452983,2h 40m,PG,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",https://www.imdb.com/title/tt0086879/,10.0,False,"['Drama', 'Crime']",Drama
74,Avengers: Endgame,2019,8.4,1380859,3h 1m,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",https://www.imdb.com/title/tt4154796/,10.0,False,"['Action', 'War']",Action
75,Toy Story,1995,8.3,1134817,1h 21m,G,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy&apos;s bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",https://www.imdb.com/title/tt0114709/,0.0,False,"['Action', 'Sci-Fi', 'Western']",Action
76,Good Will Hunting,1997,8.3,1153042,2h 6m,R,"A therapist counsels Will Hunting, a janitor with a genius IQ.",https://www.imdb.com/title/tt0119217/,17.0,True,[],Unknown
77,High and Low,1963,8.4,62588,2h 23m,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,https://www.imdb.com/title/tt0057565/,,False,[],Unknown
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,541656,1h 35m,PG,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",https://www.imdb.com/title/tt0057012/,10.0,False,['War'],War
79,Oldboy,2003,8.3,689012,2h,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",https://www.imdb.com/title/tt0364569/,17.0,True,[],Unknown
80,Das Boot,1981,8.4,281315,2h 29m,,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,https://www.imdb.com/title/tt0082096/,,False,"['Drama', 'Biography', 'War']",Drama
81,Braveheart,1995,8.3,1137447,2h 58m,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,https://www.imdb.com/title/tt0112573/,17.0,True,"['Action', 'War']",Action
82,Your Name.,2016,8.4,366108,1h 46m,,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",https://www.imdb.com/title/tt5311514/,,False,['Fantasy'],Fantasy
83,Princess Mononoke,1997,8.3,465892,2h 13m,PG-13,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h...",https://www.imdb.com/title/tt0119698/,10.0,False,"['Action', 'War']",Action
